,installment,annual_inc,dti,inq_last_6mths,mths_since_last_record,total_pymnt,total_pymnt_inv,total_rec_late_fee,tot_cur_bal,open_acc_6m,open_il_12m,open_il_24m,mths_since_rcnt_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_inq,num_actv_rev_tl,num_rev_tl_bal_gt_0,num_tl_op_past_12m,tot_hi_cred_lim,total_bc_limit
installment,1.0,0.2884673294348009,0.026166646474927703,0.010693154668925262,-0.03772746039484656,0.8466932776023857,0.8466276522065622,0.11049504941412079,0.28286417150638843,0.003680230947728858,0.023123387460240993,0.0409753287231745,-0.02039745133626516,-0.08299950055334226,-0.014984740602646467,0.0,0.35229855389947495,0.024658868445277534,0.316726773099258,0.02030875568582516,0.03110025548936324,0.03407011735790959,0.20126253151321064,0.16663249965737215,0.1528203165162545,0.02545769970796169,0.006109930398249941,0.19480996809764534,0.012980020785243499,-0.020693387750026597,0.16601476193046158,0.16287945949958393,0.011065259490173058,0.3008007706702567,0.33890577311022185
annual_inc,0.2884673294348009,1.0,-0.1596520083682538,0.027051452858799358,-0.07914140084944993,0.2807901610311465,0.28080324018629743,0.03804026828416015,0.3851176012944374,0.037293640248308814,0.08112203972392953,0.1011356172245563,-0.06997895778462085,-0.0370816769846101,-0.005559807593669884,-0.013004151470107639,0.25884134317945995,0.011692494098587728,0.28672939343584075,0.051321836812199206,0.06422152047425732,0.056992591083123635,0.29340029150584424,0.149729071979092,0.131221364491293,0.027644199518139047,-0.03026623661749792,0.20919818931426867,0.02435380303672172,-0.041349892981555975,0.08277730517990857,0.0804353695200589,0.05099014903300095,0.3964448842613305,0.2638942357741475
dti,0.026166646474927703,-0.1596520083682538,1.0,0.008849886548527868,0.07282413464838522,0.0041466186503233,0.0040617909192634345,0.006314696146317259,0.010961807945577296,0.05291897750158634,0.19981213239409165,0.2668199685992483,-0.26833095274160657,0.009935874042676858,0.00929612813363963,0.04097299226785457,0.11027548081473368,0.21317032263984817,0.09292378139220941,0.07929155577627567,0.044408726205166366,0.15423558592964393,-0.11697035933456976,-0.0698681889277975,0.05669335566674847,-0.032475648012531,-0.10116765145463576,-0.027509755943224384,-0.016047508038714565,0.0,0.2648377010659287,0.2678488481406683,0.09537410335151682,0.023711331443665648,0.05012505093499787
inq_last_6mths,0.010693154668925262,0.027051452858799358,0.008849886548527868,1.0,-0.05009199539483381,-0.035180164087367356,-0.03523671078911992,0.018990196542512477,0.024212673331874834,0.43183438740121566,0.1419004222330174,0.11880616168240267,-0.07761253157260732,0.06966036324237421,0.35348397685513633,0.308016994358116,-0.05822128881312757,-0.0472690141795148,0.03539011149180487,0.21874436240342437,0.4931011776511201,0.31092392031164373,-0.036968820017494575,0.02462551387899374,-0.005883135776904322,-0.20375471276073745,-0.22700321292380005,0.02122997822257358,-0.14294020937438384,-0.5446411323690894,0.15716252244671175,0.13253200763624418,0.3621929490430249,0.027292274683391602,0.010990317104244005
mths_since_last_record,-0.03772746039484656,-0.07914140084944993,0.07282413464838522,-0.05009199539483381,1.0,-0.040639054059130875,-0.04058108113797581,-0.02796706711298561,-0.029260837564715026,-0.04359069840149075,0.0,0.030507267879158494,-0.025316009812395433,-0.021795847177081485,-0.06791103784278814,-0.05970251070535025,-0.031995334402470814,0.0,-0.03623801806631349,-0.03664042059031832,-0.05257085528192496,-0.026225605223511472,-0.03595921520966669,-0.04095982336166657,-0.09272185735888397,0.0,0.0,-0.083325462917071,0.0,0.04188800324436213,0.026486533824336182,0.030092647498882016,-0.04971944083489081,-0.03914880231563281,-0.04804961510873037
total_pymnt,0.8466932776023857,0.2807901610311465,0.0041466186503233,-0.035180164087367356,-0.040639054059130875,1.0,0.9999932944044897,0.08572997033208507,0.3017786908600268,-0.038694737643442126,-0.016462973233159477,0.0045826753410771305,0.0,-0.09997470706173642,-0.05615298942234126,-0.05164712624128657,0.35940911858821745,0.010613436551945216,0.3222894362641019,-0.01136911390093317,-0.013994505071039625,-0.023769590748976183,0.22468940724356012,0.1779996128240786,0.1745296108203148,0.05602812178650786,0.03411553344535334,0.22364033339713668,0.04453612458681003,0.011848914543176084,0.1443196590468383,0.1419095687519134,-0.041006206682077384,0.3200521498677573,0.34628158885767024
total_pymnt_inv,0.8466276522065622,0.28080324018629743,0.0040617909192634345,-0.03523671078911992,-0.04058108113797581,0.9999932944044897,1.0,0.08572149074591223,0.301814512343,-0.03871713319897378,-0.016462263839288938,0.004579252097268415,0.0,-0.09996328070549979,-0.05618142844305261,-0.051683953824700854,0.35941815089367724,0.010596103654693708,0.32229428353391665,-0.011382539619630714,-0.014021788857444803,-0.023796335289132352,0.2247325635147217,0.178026754240458,0.17453559989137907,0.05604670005195538,0.03412640438611446,0.2236700156230998,0.04455325777937803,0.011877738322686392,0.14428141397020564,0.14187338539340186,-0.04102526819926833,0.32008791675296466,0.3462968981340943
total_rec_late_fee,0.11049504941412079,0.03804026828416015,0.006314696146317259,0.018990196542512477,-0.02796706711298561,0.08572997033208507,0.08572149074591223,1.0,0.033938574020751906,0.012267600566973515,0.0267058268242494,0.027233431042713474,-0.01481780186531532,0.01114913980043924,0.0,0.0,0.015954963266597105,0.03626270718832794,0.006687542911492755,0.02203324324042513,0.024152513509763603,0.014389245936133487,0.02682120912555044,-0.020515777708022744,0.0,0.0051197855241057405,-0.008006127400796611,0.008106187935825682,0.007009142264910061,-0.01867142658463238,0.01301387358532174,0.013651749480207632,0.015455447283780857,0.03090572718451777,-0.005921287366215104
tot_cur_bal,0.28286417150638843,0.3851176012944374,0.010961807945577296,0.024212673331874834,-0.029260837564715026,0.3017786908600268,0.301814512343,0.033938574020751906,1.0,0.07324661716615104,0.10888203462055066,0.13934165685964164,-0.09744306941305877,0.030131832281063194,-0.021907563405189606,-0.04015356486504742,0.34570389534186324,0.09553399442297002,0.43240269767494194,0.09853484885855075,0.11441657428028573,0.10266598900951811,0.830583344913469,0.16557544763552154,0.19059381694062721,0.032515510795208445,-0.07268794475354837,0.5462511365025361,0.04684592050223946,-0.06172426087728553,0.11507418170611296,0.11184693878202534,0.09623649643083511,0.9674006993958487,0.3259885826100266
open_acc_6m,0.003680230947728858,0.037293640248308814,0.05291897750158634,0.43183438740121566,-0.04359069840149075,-0.038694737643442126,-0.03871713319897378,0.012267600566973515,0.07324661716615104,1.0,0.38451564813948136,0.30227517505569873,-0.19574339296792986,0.17160568914933988,0.6264306144741536,0.4838605680580987,-0.08889829420598913,-0.0482747019514379,0.06579040942329417,0.15600493789252973,0.3187778202591796,0.5588563648879307,-0.032835988982835775,0.09661791498224959,-0.012046947753021212,-0.3627816437838828,-0.47468096070771837,0.04929654423259889,-0.2547591665579685,-0.29548981603090757,0.20630120056616866,0.19665951879000138,0.7273088082114242,0.07545899876366159,0.04105227391909699
open_il_12m,0.023123387460240993,0.08112203972392953,0.19981213239409165,0.1419004222330174,0.0,-0.016462973233159477,-0.016462263839288938,0.0267058268242494,0.10888203462055066,0.38451564813948136,1.0,0.7660028158575334,-0.43727775369807464,0.33241214223948856,0.06996718700497398,0.07380272598117336,-0.062303643273975855,0.19383776249343623,-0.01664461947653932,0.25683687329287636,0.3245675633808329,0.4512664930512888,0.025989354441602365,-0.003962297574473858,-0.01844743910783166,-0.05438310641197478,-0.2936914659860243,0.05971493502736695,-0.039369177360484876,-0.16601286355829295,-0.015634830829983692,-0.019055636290346865,0.5670346622039465,0.09790812353963414,-0.04295253963484579
open_il_24m,0.0409753287231745,0.1011356172245563,0.2668199685992483,0.11880616168240267,0.030507267879158494,0.0045826753410771305,0.004579252097268415,0.027233431042713474,0.13934165685964164,0.30227517505569873,0.7660028158575334,1.0,-0.48234707010109523,0.3117522472447717,0.061464872030396106,0.0858888357987012,-0.060400572185286834,0.21399162737622254,-0.010804416461254785,0.3403350725306392,0.2685200961785475,0.5799713110573235,0.026456611789221898,0.0,-0.03244511126113021,-0.06517109853096004,-0.2755522767639298,0.07805667061678101,-0.05023219841955568,-0.12012287444063416,-0.004620956139263063,0.0,0.44453488914788014,0.13050403402826763,-0.040696615043109445
mths_since_rcnt_il,-0.02039745133626516,-0.06997895778462085,-0.26833095274160657,-0.07761253157260732,-0.025316009812395433,0.0,0.0,-0.01481780186531532,-0.09744306941305877,-0.19574339296792986,-0.43727775369807464,-0.48234707010109523,1.0,-0.3321717700797549,-0.041176922521105504,-0.05664397275823908,0.04518181258243111,-0.14709223555688905,0.007511358404613859,-0.190998304506946,-0.18793099222939685,-0.29569752546665495,-0.020410843649792836,-0.005124565567287684,0.05607641790633776,0.06845472529703141,0.34409476544778295,-0.04789208112198619,0.06068340495212435,0.09457543598807426,0.0,0.004974845785682028,-0.2620691979678606,-0.09469336054028078,0.023737186343183246
il_util,-0.08299950055334226,-0.0370816769846101,0.009935874042676858,0.06966036324237421,-0.021795847177081485,-0.09997470706173642,-0.09996328070549979,0.01114913980043924,0.030131832281063194,0.17160568914933988,0.33241214223948856,0.3117522472447717,-0.3321717700797549,1.0,0.0606783426823994,0.07184107440349172,-0.11055834020369584,0.564616985687515,-0.09938846717764621,0.14386006178657604,0.1612333964187509,0.21643200472582258,-0.016884829502793686,-0.053338344868344434,-0.09792081624900742,-0.05363020731662399,-0.21090372796042894,-0.05495334653339922,-0.04456716921967832,-0.08304886253300144,-0.05435437260129903,-0.05022518429511105,0.22096771788907052,-0.017259025621158067,-0.11035200080087332
open_rv_12m,-0.014984740602646467,-0.005559807593669884,0.00929612813363963,0.35348397685513633,-0.06791103784278814,-0.05615298942234126,-0.05618142844305261,0.0,-0.021907563405189606,0.6264306144741536,0.06996718700497398,0.061464872030396106,-0.041176922521105504,0.0606783426823994,1.0,0.773859165508453,-0.10302933025990227,-0.1669579043120723,0.10454318728997643,0.09453991829984684,0.3191049094984131,0.6521563611530674,-0.14157543859196417,0.12796399818492596,-0.026098752498900146,-0.4662223695511838,-0.3917585219258958,-0.023332471994722385,-0.36054998440581243,-0.23335017986226333,0.36294904703090397,0.3502971383770582,0.839082971047646,-0.004124097293780598,0.08041752011473487
open_rv_24m,0.0,-0.013004151470107639,0.04097299226785457,0.308016994358116,-0.05970251070535025,-0.05164712624128657,-0.051683953824700854,0.0,-0.04015356486504742,0.4838605680580987,0.07380272598117336,0.0858888357987012,-0.05664397275823908,0.07184107440349172,0.773859165508453,1.0,-0.12233572857481059,-0.18092954322105206,0.12319521741168594,0.13193062595891888,0.30218166733062135,0.8444840503594793,-0.18696816535519106,0.1407292833735725,-0.05731864033599519,-0.4613852850020831,-0.35263886091619734,-0.04182513032609146,-0.39247020648141717,-0.17996365190540858,0.4516789356219492,0.4415625766583416,0.6578228778496924,-0.019502019888850013,0.0932774312336054
max_bal_bc,0.35229855389947495,0.25884134317945995,0.11027548081473368,-0.05822128881312757,-0.031995334402470814,0.35940911858821745,0.35941815089367724,0.015954963266597105,0.34570389534186324,-0.08889829420598913,-0.062303643273975855,-0.060400572185286834,0.04518181258243111,-0.11055834020369584,-0.10302933025990227,-0.12233572857481059,1.0,0.12772386163419408,0.4891126264306017,-0.08253970760858582,-0.08427820040782312,-0.11772634939616418,0.27172480153174666,0.18243512164295034,0.23858488924353724,0.11158285759444188,0.0889572251543664,0.22212973532629882,0.09285025003228546,0.04648672180075736,0.11924654857938717,0.11296435719316486,-0.10668683574167405,0.35880149179188153,0.5980393201421722
all_util,0.024658868445277534,0.011692494098587728,0.21317032263984817,-0.0472690141795148,0.0,0.010613436551945216,0.010596103654693708,0.03626270718832794,0.09553399442297002,-0.0482747019514379,0.19383776249343623,0.21399162737622254,-0.14709223555688905,0.564616985687515,-0.1669579043120723,-0.18092954322105206,0.12772386163419408,1.0,-0.20339320049509904,0.07870105002568428,0.027169283948846955,-0.04099499231442173,0.0926953388687274,-0.4612375395178331,-0.07760949364817231,0.11787735931361004,0.02276201964863211,-0.025726395203971793,0.10085763373417435,0.016895793192033035,-0.0385111484194135,-0.022373261924972434,-0.04114360048809646,0.018768883892354944,-0.2602730767500918
total_rev_hi_lim,0.316726773099258,0.28672939343584075,0.09292378139220941,0.03539011149180487,-0.03623801806631349,0.3222894362641019,0.32229428353391665,0.006687542911492755,0.43240269767494194,0.06579040942329417,-0.01664461947653932,-0.010804416461254785,0.007511358404613859,-0.09938846717764621,0.10454318728997643,0.12319521741168594,0.4891126264306017,-0.20339320049509904,1.0,-0.035501661227884125,0.008497102422674135,0.10423728572223924,0.2233707655744507,0.6137496268527982,0.2919651284919478,-0.05494335437359641,-0.04106528054153776,0.2573844971743647,-0.0488871926308805,-0.022769595703970785,0.37319501796032595,0.3669545849363596,0.08415895610486453,0.5045032583572753,0.7778062783756448
inq_fi,0.02030875568582516,0.051321836812199206,0.07929155577627567,0.21874436240342437,-0.03664042059031832,-0.01136911390093317,-0.011382539619630714,0.02203324324042513,0.09853484885855075,0.15600493789252973,0.25683687329287636,0.3403350725306392,-0.190998304506946,0.14386006178657604,0.09453991829984684,0.13193062595891888,-0.08253970760858582,0.07870105002568428,-0.035501661227884125,1.0,0.5583013978471496,0.2987964333763186,0.05528857694143673,-0.008125004011008385,-0.050835293791661185,-0.07287934611262593,-0.14147437856211642,0.09002352654066764,-0.05881753681275825,-0.23943616798933987,0.0,0.012906804563041338,0.22619130473651727,0.08703592358679728,-0.0546575296461187
